Rank,Movie Title,Year of Release,IMDB Rating
N/A,The Shawshank Redemption,1994,9.3
N/A,The Godfather,1972,9.2
N/A,The Dark Knight,2008,9.1
N/A,The Godfather Part II,1974,9.0
N/A,12 Angry Men,1957,9.0
N/A,The Lord of the Rings: The Return of the King,2003,9.0
N/A,Schindler's List,1993,9.0
N/A,The Lord of the Rings: The Fellowship of the Ring,2001,8.9
N/A,Pulp Fiction,1994,8.8
N/A,"The Good, the Bad and the Ugly",1966,8.8
N/A,The Lord of the Rings: The Two Towers,2002,8.8
N/A,Forrest Gump,1994,8.8
N/A,Fight Club,1999,8.8
N/A,Inception,2010,8.8
N/A,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
N/A,The Matrix,1999,8.7
N/A,Goodfellas,1990,8.7
N/A,Interstellar,2014,8.7
N/A,One Flew Over the Cuckoo's Nest,1975,8.6
N/A,Se7en,1995,8.6
N/A,It's a Wonderful Life,1946,8.6
N/A,The Silence of the Lambs,1991,8.6
N/A,Seven Samurai,1954,8.6
N/A,Saving Private Ryan,1998,8.6
N/A,The Green Mile,1999,8.6
N/A,City of God,2002,8.6
N/A,Life Is Beautiful,1997,8.6
N/A,Terminator 2: Judgment Day,1991,8.6
N/A,Star Wars: Episode IV - A New Hope,1977,8.6
N/A,Back to the Future,1985,8.5
N/A,Spirited Away,2001,8.6
N/A,The Pianist,2002,8.5
N/A,Gladiator,2000,8.5
N/A,Parasite,2019,8.5
N/A,Psycho,1960,8.5
N/A,Grave of the Fireflies,1988,8.5
N/A,The Lion King,1994,8.5
N/A,Harakiri,1962,8.6
N/A,The Departed,2006,8.5
N/A,Whiplash,2014,8.5
N/A,The Prestige,2006,8.5
N/A,American History X,1998,8.5
N/A,Léon: The Professional,1994,8.5
N/A,Spider-Man: Across the Spider-Verse,2023,8.5
N/A,Cinema Paradiso,1988,8.5
N/A,Casablanca,1942,8.5
N/A,The Intouchables,2011,8.5
N/A,The Usual Suspects,1995,8.5
N/A,Alien,1979,8.5
N/A,Modern Times,1936,8.5
N/A,Rear Window,1954,8.5
N/A,Django Unchained,2012,8.5
N/A,Once Upon a Time in the West,1968,8.5
N/A,City Lights,1931,8.5
N/A,Apocalypse Now,1979,8.4
N/A,WALL·E,2008,8.4
N/A,Memento,2000,8.4
N/A,Dune: Part Two,2024,8.4
N/A,Raiders of the Lost Ark,1981,8.4
N/A,Avengers: Infinity War,2018,8.4
N/A,The Lives of Others,2006,8.4
N/A,Spider-Man: Into the Spider-Verse,2018,8.4
N/A,Sunset Boulevard,1950,8.4
N/A,Witness for the Prosecution,1957,8.4
N/A,Paths of Glory,1957,8.4
N/A,The Shining,1980,8.4
N/A,The Great Dictator,1940,8.4
N/A,Inglourious Basterds,2009,8.4
N/A,Aliens,1986,8.4
N/A,12th Fail,2023,8.7
N/A,The Dark Knight Rises,2012,8.4
N/A,High and Low,1963,8.4
N/A,Coco,2017,8.4
N/A,Avengers: Endgame,2019,8.4
N/A,Amadeus,1984,8.4
N/A,Good Will Hunting,1997,8.3
N/A,Toy Story,1995,8.3
N/A,Your Name.,2016,8.4
N/A,Oldboy,2003,8.3
N/A,Das Boot,1981,8.4
Dr,Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3
N/A,Braveheart,1995,8.3
N/A,Princess Mononoke,1997,8.3
N/A,American Beauty,1999,8.3
N/A,3 Idiots,2009,8.4
N/A,Capernaum,2018,8.4
N/A,Joker,2019,8.3
N/A,Once Upon a Time in America,1984,8.3
N/A,Singin' in the Rain,1952,8.3
N/A,Come and See,1985,8.3
N/A,Requiem for a Dream,2000,8.3
N/A,Star Wars: Episode VI - Return of the Jedi,1983,8.3
N/A,Toy Story 3,2010,8.3
